"Index","Open","High","Low","Close","Volume","Adjusted"
"2011-09-19",25.11,25.11,25.11,25.11,100,25.11
"2011-09-20",25.268,25.57,25.268,25.57,200,25.57
"2011-09-21",24.58,24.73,24.56,24.73,700,24.73
"2011-09-22",23.98,24.23,23.76,23.76,2300,23.76
"2011-09-23",23.33,23.33,23.33,23.33,200,23.33
"2011-09-26",23.42,23.42,23.4208,23.42,1000,23.42
"2011-09-27",23.91,23.91,23.7201,23.72,1600,23.72
"2011-09-28",23.78,23.78,23.5,23.5,400,23.5
"2011-09-29",24.2906,25.16,24.29,25.16,1500,25.16
"2011-09-30",24.365,24.365,24.365,24.365,2000,24.37
"2011-10-03",24.37,24.37,24.37,24.37,0,24.37
"2011-10-04",24.37,24.37,24.37,24.37,0,24.37
"2011-10-05",23.47,23.47,23.47,23.47,100,23.47
"2011-10-06",23.47,23.47,23.47,23.47,0,23.47
"2011-10-07",24.15,24.15,24.15,24.15,100,24.15
"2011-10-10",24.15,24.15,24.15,24.15,0,24.15
"2011-10-11",24.51,24.51,24.51,24.51,200,24.51
"2011-10-12",24.51,24.51,24.51,24.51,0,24.51
"2011-10-13",24.51,24.51,24.51,24.51,0,24.51
"2011-10-14",25.99,26.43,25.99,26.24,500,26.24
"2011-10-17",26.17,26.31,26.17,26.31,200,26.31
"2011-10-18",26.31,26.31,26.31,26.31,0,26.31
"2011-10-19",26.25,26.2502,25.58,25.58,400,25.58
"2011-10-20",25.58,25.58,25.58,25.58,0,25.58
"2011-10-21",25.5086,25.51,25.092,25.092,400,25.09
"2011-10-24",25.35,25.35,25.35,25.35,200,25.35
"2011-10-25",25.35,25.35,25.35,25.35,0,25.35
"2011-10-26",25.28,25.28,25.28,25.28,200,25.28
"2011-10-27",25.52,25.52,25.52,25.52,100,25.52
"2011-10-28",25.52,25.59,25.4,25.4,1100,25.4
"2011-10-31",25.06,25.06,25.06,25.06,100,25.06
"2011-11-01",24.77,24.96,24.62,24.62,300,24.62
"2011-11-02",24.58,24.88,24.54,24.64,1700,24.64
"2011-11-03",24.64,24.64,24.64,24.64,0,24.64
"2011-11-04",24.64,24.64,24.64,24.64,0,24.64
