"Index","Open","High","Low","Close","Volume","Adjusted"
"2006-05-22",36.52,37.2881,35.87,37.23,197100,34.2802
"2006-05-23",37.75,39.22,37.75,37.96,620900,34.9524
"2006-05-24",37.13,37.57,35.87,36.52,638600,33.6265
"2006-05-25",37.18,38.32,36.98,38.32,367000,35.2839
"2006-05-26",38.74,38.74,37.77,38.55,269400,35.4956
"2006-05-30",39.5,39.72,38.11,38.17,559100,35.1457
"2006-05-31",38.9,39.13,38.12,38.85,350700,35.7719
"2006-06-01",37.2,38.58,37.17,38.53,641300,35.4772
"2006-06-02",39.31,39.39,38.8,39.13,277300,36.0297
"2006-06-05",40.27,40.27,38.095,38.13,436000,35.1089
"2006-06-06",38.0284,38.03,36.716,37.01,663600,34.0777
"2006-06-07",36.31,37.55,35.8178,36.14,484100,33.2766
"2006-06-08",35.27,35.38,33.62,35.27,812800,32.4755
"2006-06-09",35.75,36.19,34.86,35.07,542200,32.2914
"2006-06-12",35.48,35.63,33.76,33.78,584700,31.1036
"2006-06-13",32.66,33.15,31.82,32.2,1580900,29.6488
"2006-06-14",32.85,33.5,32.25,33.03,646800,30.413
"2006-06-15",34.4,35.05,34,34.94,882200,32.1717
"2006-06-16",35,35,34.3,34.57,602300,31.831
"2006-06-19",34.17,34.47,33.57,33.6,366100,30.9378
"2006-06-20",33.91,34.7286,33.6,34.34,388500,31.6192
"2006-06-21",34.6,36.04,34.5975,35.86,551000,33.0188
"2006-06-22",36,36.21,35.17,35.64,590000,32.8162
"2006-06-23",35.17,36.5,35.15,36.28,467800,33.4055
"2006-06-26",36.62,36.8,36.15,36.63,301500,33.7278
"2006-06-27",36.97,37.05,35.48,35.48,469200,32.6689
"2006-06-28",35.7,35.93,35,35.31,415200,32.5124
"2006-06-29",35.95,37.96,35.94,37.96,588500,34.9524
"2006-06-30",38.7,39.06,38.32,38.7,1069400,35.6338
"2006-07-03",39.4,40.23,39.32,40.23,561200,37.0425
"2006-07-05",40.1,40.46,38.85,39.37,685600,36.2507
"2006-07-06",39.5,39.99,39.04,39.73,411100,36.5821
"2006-07-07",39.68,39.88,38.95,39.03,500500,35.9376
"2006-07-10",38.39,39.13,38.25,38.67,401400,35.6061
"2006-07-11",39.03,39.76,38.79,39.76,512700,36.6098
"2006-07-12",40.11,40.46,39.37,39.49,519500,36.3612
"2006-07-13",39.48,39.5,38.28,38.33,647700,35.2931
"2006-07-14",38.9,39.13,38.34,38.97,459500,35.8824
"2006-07-17",38.32,38.672,37.4,37.4,777700,34.4368
"2006-07-18",37.89,37.96,36.43,37,800200,34.0685
"2006-07-19",36.9,38.51,36.9,38.44,515300,35.3944
"2006-07-20",38.21,38.33,36.83,36.83,415200,33.9119
"2006-07-21",37.0789,37.3,35.81,35.81,646200,32.9727
"2006-07-24",35.5,36.82,35.19,36.69,1086500,33.783
"2006-07-25",36.83,37.79,36.42,37.69,949400,34.7038
"2006-07-26",37.49,38.39,37.18,38.36,361800,35.3207
"2006-07-27",39.35,39.37,37.37,37.5,518000,34.5288
"2006-07-28",37.78,38.78,37.69,38.78,371400,35.7074
"2006-07-31",38.7289,38.86,38.23,38.76,233900,35.689
"2006-08-01",38.59,39.75,38.3,39.75,536600,36.6006
"2006-08-02",40.3369,40.7,39.81,40.66,944300,37.4385
"2006-08-03",40.29,40.45,39.56,39.91,496400,36.7479
"2006-08-04",40.67,40.7704,39.54,39.59,501700,36.4532
"2006-08-07",39.8,40.42,39.72,40.12,279900,36.9412
"2006-08-08",39.99,40.45,39.565,39.72,361100,36.5729
"2006-08-09",40.04,40.864,39.8,40.58,631000,37.3648
"2006-08-10",40.3,40.38,39.19,39.75,745600,36.6006
"2006-08-11",40.1,40.24,38.68,38.69,512100,35.6245
"2006-08-14",38.52,38.84,37.8812,38.04,420300,35.0261
"2006-08-15",38.15,38.72,38.15,38.56,298300,35.5048
"2006-08-16",39.23,39.462,39.063,39.19,199600,36.0849
"2006-08-17",39.05,39.09,38.02,38.28,277300,35.247
"2006-08-18",38.55,38.55,37.62,38.38,317100,35.3391
"2006-08-21",39.15,40.29,39,40.29,408000,37.0978
"2006-08-22",40,40.5,39.67,40.5,304100,37.2911
"2006-08-23",40.95,41.2195,40.23,40.38,402700,37.1806
"2006-08-24",40.6,40.69,39.6,39.75,327300,36.6006
"2006-08-25",40.1,40.34,39.8008,39.98,188200,36.8123
"2006-08-28",39.87,39.88,39.05,39.09,345900,35.9929
"2006-08-29",39.05,39.35,38.45,39.35,853100,36.2323
"2006-08-30",39.86,40.1,39.1,39.51,525600,36.3796
"2006-08-31",40.29,40.6,40.02,40.59,535200,37.374
"2006-09-01",40.25,41.08,40.01,40.89,241700,37.6502
"2006-09-05",41.65,42.17,41.5,42.1,669700,38.7644
