"Index","Open","High","Low","Close","Volume","Adjusted"
"2009-11-11",26,27,25.05,25.44,339000,79.3815
"2009-11-12",25.55,25.59,24.72,24.84,919000,77.5093
"2009-11-13",25,25.5,24.65,25.43,456900,79.3503
"2009-11-16",26,26.81,26,26.5,830400,82.6891
"2009-11-17",26.3733,26.93,26.05,26.93,744200,84.0308
"2009-11-18",27.27,27.6587,26.75,27.05,915800,84.4053
"2009-11-19",26.83,27.018,25.77,26.92,868900,83.9996
"2009-11-20",26.48,26.82,26.15,26.76,560400,83.5003
"2009-11-23",27.9,28.32,27.36,27.6,775100,86.1214
"2009-11-24",27.7164,27.98,26.9,27.22,688500,84.9357
"2009-11-25",27.89,28.39,27.65,28.3,670600,88.3057
"2009-11-27",26.45,27.67,25.88,27.09,753300,84.5301
"2009-11-30",26.99,27.4697,26.75,27.224,616900,84.9357
"2009-12-01",28.14,28.91,28.0022,28.62,757800,89.3042
"2009-12-02",29.14,29.69,29.01,29.328,674600,91.5196
"2009-12-03",29.1,29.164,28.35,28.51,766500,88.9609
"2009-12-04",27.88,27.98,26.42,27.139,1146300,84.6861
"2009-12-07",26.25,27.26,26.01,26.65,666600,83.1571
"2009-12-08",26.15,26.28,25.34,25.48,781100,79.5063
"2009-12-09",25.72,26.49,25.4102,26.08,777300,81.3785
"2009-12-10",26.38,26.5,25.86,26.14,374100,81.5657
"2009-12-11",26.26,26.36,25.33,25.526,394300,79.6623
"2009-12-14",25.76,26.31,25.435,26.3,361100,82.065
"2009-12-15",26.1,26.32,25.77,25.89,535700,80.7856
"2009-12-16",26.23,26.56,26.1,26.31,386300,82.0962
"2009-12-17",25.61,25.73,24.81,24.83,513600,77.4781
"2009-12-18",25.03,25.3,24.6,25.07,379200,78.227
"2009-12-21",25.37,25.39,24.48,24.66,396300,76.9476
"2009-12-22",24.84,24.95,24.36,24.82,334000,77.4469
"2009-12-23",25.09,26.07,25,25.94,457900,80.9417
"2009-12-24",26.43,26.43,26,26.13,161400,81.5345
"2009-12-28",26.58,26.58,25.94,26.1,159500,81.4409
"2009-12-29",26.27,26.37,25.93,25.95,163300,80.9729
"2009-12-30",25.65,25.7394,25.35,25.54,151800,79.6935
"2009-12-31",25.7924,26.01,25.66,25.74,153300,80.3176
"2010-01-04",26.71,26.93,26.55,26.78,368500,83.5628
"2010-01-05",27,27.32,26.7306,27.07,501800,84.4677
"2010-01-06",27.51,28.03,27.35,27.83,379900,86.8391
"2010-01-07",27.77,27.95,27.34,27.76,354800,86.6207
"2010-01-08",27.97,28.25,27.47,28.21,226600,88.0248
"2010-01-11",29.22,29.25,28.42,28.48,510400,88.8673
"2010-01-12",28.16,28.28,27.18,27.19,484200,84.8421
"2010-01-13",27.58,27.78,26.96,27.68,419200,86.3711
"2010-01-14",27.75,27.8,27.31,27.62,274900,86.1838
"2010-01-15",27.44,27.44,26.89,27.26,271400,85.0605
"2010-01-19",27.21,27.37,27.01,27.2,351000,84.8733
"2010-01-20",26.37,26.519,25.64,25.77,529700,80.4112
"2010-01-21",25.66,25.66,24.28,24.28,723600,75.7619
"2010-01-22",24.12,24.6,23.53,24.1,774500,75.2002
"2010-01-25",24.26,24.5,23.95,23.95,337500,74.7322
"2010-01-26",23.53,24.35,23.23,23.83,448300,74.3577
"2010-01-27",23.82,23.93,22.99,23.25,571200,72.5479
"2010-01-28",23.59,23.7119,22.51,22.93,550100,71.5494
"2010-01-29",22.9,23.11,22.05,22.17,474800,69.178
"2010-02-01",22.45,23.8,22.38,23.8,611700,74.2641
"2010-02-02",24.15,24.21,23.74,23.91,495800,74.6074
"2010-02-03",23.96,24.25,23.62,23.63,378400,73.7337
"2010-02-04",23.05,23.16,21.88,21.94,781600,68.4603
"2010-02-05",21.92,22.9301,21.18,22.93,908300,71.5494
"2010-02-08",22.91,23.3,22.22,22.22,505400,69.334
"2010-02-09",22.88,23.62,22.87,23.41,577600,73.0472
"2010-02-10",23.38,23.53,22.8,23.34,449500,72.8288
"2010-02-11",23.6,24.59,23.32,24.59,585000,76.7292
"2010-02-12",24.09,24.4,23.65,24.31,489800,75.8555
"2010-02-16",25,25.4,24.9108,25.24,653100,78.7574
"2010-02-17",25.4,25.468,24.85,25.06,557700,78.1958
"2010-02-18",25.03,25.29,24.83,25.03,388700,78.1021
"2010-02-19",24.62,25.06,24.37,24.72,455600,77.1348
"2010-02-22",24.96,24.98,24.42,24.42,225800,76.1987
"2010-02-23",24.2397,24.34,23.27,23.31,389200,72.7352
"2010-02-24",23.32,23.726,23.19,23.32,329400,72.7664
"2010-02-25",22.94,23.84,22.56,23.84,559700,74.3889
"2010-02-26",23.97,24.18,23.6209,24.18,352000,75.4499
"2010-03-01",24.29,24.69,24.02,24.69,270900,77.0412
"2010-03-02",24.9,25.57,24.9,25.18,519600,78.5702
"2010-03-03",25.6,25.94,25.444,25.63,597300,79.9744
"2010-03-04",25.6,25.7427,25.02,25.37,295900,79.1631
"2010-03-05",25.68,25.98,25.6,25.84,262500,80.6296
"2010-03-08",25.95,26.09,25.47,25.74,262300,80.3176
"2010-03-09",25.36,25.82,25.3,25.5,270800,79.5687
"2010-03-10",25.79,25.9694,25.14,25.39,357300,79.2255
"2010-03-11",25.28,25.8,25.05,25.78,226000,80.4424
"2010-03-12",25.93,26.08,25.5086,25.77,271500,80.4112
"2010-03-15",25.8,25.81,25.4,25.7,198400,80.1928
"2010-03-16",26.09,26.72,26.06,26.71,623200,83.3443
"2010-03-17",26.83,26.99,26.6497,26.73,363400,83.4067
"2010-03-18",26.75,26.92,26.18,26.5,324300,82.6891
"2010-03-19",26.45,26.5,25.68,26.09,386500,81.4097
"2010-03-22",25.47,25.99,25.37,25.93,294700,80.9105
"2010-03-23",25.9,26.47,25.69,26.44,367500,82.5018
"2010-03-24",25.84,25.84,25,25.18,559700,78.5702
"2010-03-25",25.4304,25.673,24.74,24.92,529800,77.7589
"2010-03-26",25.06,25.52,24.87,25.5,397100,79.5687
"2010-03-29",25.87,26.09,25.66,25.9,233000,80.8168
"2010-03-30",26.02,26.03,25.49,25.6,136100,79.8807
"2010-03-31",25.86,25.98,25.62,25.72,191100,80.2552
"2010-04-01",26.25,26.59,26.11,26.58,402700,82.9387
"2010-04-05",26.89,27.33,26.7978,27.31,374500,85.2165
"2010-04-06",27.36,27.59,27.24,27.38,397100,85.435
"2010-04-07",27.45,28.05,27.4512,27.8,795900,86.7455
"2010-04-08",27.8,27.93,27.53,27.89,340100,87.0263
"2010-04-09",28.11,28.5,27.99,28.3,548800,88.3057
"2010-04-12",28.28,28.52,27.86,27.95,462300,87.2136
"2010-04-13",27.9,27.9,27.24,27.72,328500,86.4959
"2010-04-14",28.13,28.38,27.8884,28.26,311700,88.1809
"2010-04-15",28.2,28.42,27.98,28.08,215800,87.6192
"2010-04-16",27.68,27.83,26.7,27.24,684700,84.9981
"2010-04-19",26.97,27.13,26.651,27.08,398500,84.4988
"2010-04-20",27.55,27.79,27.4,27.46,259200,85.6846
"2010-04-21",27.65,27.78,27.36,27.71,341200,86.4647
"2010-04-22",27.31,27.79,27.13,27.79,249600,86.7143
"2010-04-23",27.71,28.54,27.418,28.54,432300,89.0546
"2010-04-26",28.46,28.654,28.2,28.25,347500,88.1497
"2010-04-27",27.91,28.57,27.65,28.09,600100,87.6504
