"Index","Open","High","Low","Close","Volume","Adjusted"
"1999-08-23",67.063,68.5,66.5,68.438,4249000,19.641
"1999-08-24",67.75,68.313,67.125,67.5,3641000,19.372
"1999-08-25",68.438,68.688,65.5,65.75,5464600,18.8697
"1999-08-26",66.063,66.063,63.875,64.813,7354400,18.6007
"1999-08-27",65,66.625,64.4336,65.5,3314000,18.798
"1999-08-30",65.5,65.875,64.1892,64.188,3863600,18.4213
"1999-08-31",64.438,67.5,64.063,66.688,6608600,19.1388
"1999-09-01",66.75,67.313,65.313,65.813,4282400,18.8877
"1999-09-02",64.25,64.687,64,64.125,3702000,18.4034
"1999-09-03",64.813,65.188,64.438,64.75,2659000,18.6921
"1999-09-07",64.875,68.188,64.875,67.5,5264200,19.486
"1999-09-08",67.563,68.438,66.813,66.938,3594600,19.3236
"1999-09-09",67.938,70.625,67.938,70.313,7936800,20.2979
"1999-09-10",70.438,70.688,69.75,70,6859200,20.2077
"1999-09-13",69.5,69.688,68.313,68.75,5161600,19.8468
"1999-09-14",68.688,69.375,65.625,66.125,5181000,19.089
"1999-09-15",66,67.25,64.5,64.625,6459600,18.656
"1999-09-16",65.2507,65.688,64.938,65.125,3299200,18.8004
"1999-09-17",65.25,66.2428,64.688,65.938,3913400,19.0349
"1999-09-20",65.938,66.375,62.3745,63,6632400,18.1869
"1999-09-21",63,63.313,60.688,61,10519200,17.6095
"1999-09-22",61.938,62.563,60.125,60.125,5773400,17.357
"1999-09-23",61.688,61.938,59.75,59.813,6140600,17.2667
"1999-09-24",59.875,59.938,57.688,59.313,6394600,17.1224
"1999-09-27",60,61.438,59.438,60.313,5723400,17.4111
"1999-09-28",60,60.063,58.1256,58.625,5692400,16.9239
"1999-09-29",59.938,61.9378,59.75,60.75,7731800,17.5374
"1999-09-30",61.125,62.438,60.688,62.313,6341600,17.9884
"1999-10-01",62.4385,63.313,62.375,62.5,3572000,18.0426
"1999-10-04",62.813,62.813,61.125,61.75,4271800,17.8261
"1999-10-05",60.25,60.688,56.25,58.313,12830200,16.8337
"1999-10-06",58.563,59.188,57.5,57.5,6676000,16.5992
"1999-10-07",57.5,57.5,56.313,56.5,6107000,16.3105
"1999-10-08",55.1249,56.125,53.688,55.063,9793000,15.8955
"1999-10-11",56.25,57.6288,56,56.875,7759400,16.4187
"1999-10-12",57.5,58,56.063,56.063,6906800,16.1842
