"Index","Open","High","Low","Close","Volume","Adjusted"
"1999-08-23",82.625,82.938,82,82.813,5636600,23.1164
"1999-08-24",82.375,82.563,80.813,81.625,6263400,22.7849
"1999-08-25",82.125,82.5,81,82.25,6964400,22.9594
"1999-08-26",81.625,81.938,80,80.313,8633800,22.4185
"1999-08-27",80.5056,80.938,79.125,79.313,4980600,22.1394
"1999-08-30",79.313,79.75,77.813,77.813,4915000,21.7207
"1999-08-31",78.059,79.875,78,78.875,7733000,22.0173
"1999-09-01",79,79.188,78.125,78.313,6976400,21.8602
"1999-09-02",77.875,78.5,76.75,77.5,7363400,21.6334
"1999-09-03",77.75,79.25,77.625,79.063,6337200,22.0696
"1999-09-07",79.063,80,78.625,79.5,6534400,22.1917
"1999-09-08",79.25,81.313,79.25,81.188,7100200,22.6628
"1999-09-09",81.563,83,81.188,81.25,9825400,22.6802
"1999-09-10",81.5,81.75,80.313,80.438,5900200,22.4534
"1999-09-13",79.75,80.125,78.5,78.625,7168600,21.9475
"1999-09-14",78.375,80.25,78.313,79.188,7042600,22.1045
"1999-09-15",79.188,79.188,76.813,77.25,9937400,21.5636
"1999-09-16",77.375,78,76.375,77.688,6518800,21.6858
"1999-09-17",78.375,80.188,77.875,79.875,10120600,22.2964
"1999-09-20",80,80,77.813,78.188,5073400,21.8253
"1999-09-21",77.5,77.875,76.063,76.75,7053200,21.4241
"1999-09-22",76.813,77.438,75.375,75.375,9882400,21.0403
"1999-09-23",75.875,77.438,74.313,74.813,9489600,20.8832
"1999-09-24",74.25,75.063,73.75,74.813,8801600,20.8832
"1999-09-27",74.75,76.063,74.375,75.125,6514800,20.9705
"1999-09-28",74.563,74.875,72.125,74.688,11376200,20.8484
"1999-09-29",76.25,76.438,74.625,74.75,7655600,20.8658
"1999-09-30",75.188,76.25,74.688,76,8757800,21.2147
"1999-10-01",75.938,76.125,74.563,74.625,7635000,20.8309
"1999-10-04",74.5,74.938,72.125,73,12483000,20.3773
"1999-10-05",72.75,73.375,71.25,72.188,8474800,20.1505
"1999-10-06",72.125,74,71.625,74,13190600,20.6564
"1999-10-07",73.813,73.813,72.625,73.125,6096200,20.4122
"1999-10-08",72.625,73.313,72.063,72.75,6759000,20.3075
"1999-10-11",72.75,73.688,72.5,73.375,6009400,20.482
"1999-10-12",73.438,74.125,73.063,73.313,6921200,20.4645
"1999-10-13",74.125,74.25,73.375,73.625,9806000,20.5518
"1999-10-14",73.2468,74.75,72.875,74.375,8758000,20.7611
"1999-10-15",74.313,74.313,72,72,9256400,20.0982
"1999-10-18",72.25,73.188,71.5,73,6336000,20.3773
"1999-10-19",73.875,74,72.938,73.438,5789800,20.4994
